Index,Country,CountryA3,Sub_sector,G19,EU,OECD, Entity,Sector,,,
228,Argentina,ARG,Machinery,1,0,0,Industries,"Engines, turbines, pumps and compressors",,,
229,Argentina,ARG,Machinery,1,0,0,Industries,"Gears, ovens, elevators and other general purpose machinery",,,
230,Argentina,ARG,Machinery,1,0,0,Industries,Tractors and agricultural machinery,,,
231,Argentina,ARG,Machinery,1,0,0,Industries,Other special purpose machinery,,,
232,Argentina,ARG,Machinery,1,0,0,Industries,Household appliances,,,
233,Argentina,ARG,Machinery,1,0,0,Industries,Office machinery and computers,,,
234,Argentina,ARG,Machinery,1,0,0,Industries,"Motors, generators and transformers",,,
235,Argentina,ARG,Machinery,1,0,0,Industries,Testing equipment and power distribution,,,
236,Argentina,ARG,Machinery,1,0,0,Industries,Insulated wire and cable,,,
237,Argentina,ARG,Machinery,1,0,0,Industries,Accumulators and batteries,,,
238,Argentina,ARG,Machinery,1,0,0,Industries,Electric lamps and lighting equipment,,,
239,Argentina,ARG,Machinery,1,0,0,Industries,"Tubes and radio transmitters, TV and telephony",,,
240,Argentina,ARG,Machinery,1,0,0,Industries,Radio and TV Receivers,,,
241,Argentina,ARG,Medical instruments,1,0,0,Industries,"Medical, precision and optical clocks",,,
242,Argentina,ARG,Machinery,1,0,0,Industries,Motor vehicles,,,
243,Argentina,ARG,Machinery,1,0,0,Industries,Bodies and trailers,,,
244,Argentina,ARG,Machinery,1,0,0,Industries,Auto Parts,,,
245,Argentina,ARG,Machinery,1,0,0,Industries,"Ships, locomotives and aircraft",,,
246,Argentina,ARG,Machinery,1,0,0,Industries,"Motorcycles, bicycles and other transport",,,
247,Argentina,ARG,Furniture,1,0,0,Industries,Furniture and mattresses,,,
248,Argentina,ARG,Other procurement,1,0,0,Industries,Other manufacturing industries,,,
249,Argentina,ARG,"Heating, water and electricity",1,0,0,Industries,Electricity,,,
250,Argentina,ARG,"Heating, water and electricity",1,0,0,Industries,Gas,,,
251,Argentina,ARG,"Heating, water and electricity",1,0,0,Industries,Water,,,
252,Argentina,ARG,Construction,1,0,0,Industries,Construction,,,
253,Argentina,ARG,Trade,1,0,0,Industries,Wholesale,,,
254,Argentina,ARG,Trade,1,0,0,Industries,Retail Trade,,,
255,Argentina,ARG,Food and catering,1,0,0,Industries,Hotels,,,
