LOCATION,Sector
CYM,Hotels and Restraurants
CYM,Transport
CYM,Post and Telecommunications
CYM,Finacial Intermediation and Business Activities
CYM,Public Administration
CYM,"Education, Health and Other Services"
CYM,Private Households
CYM,Others
CYM,Re-export & Re-import
CAF,Agriculture
CAF,Fishing
CAF,Mining and Quarrying
CAF,Food & Beverages
CAF,Textiles and Wearing Apparel
CAF,Wood and Paper
CAF,"Petroleum, Chemical and non-Metallic Mineral Products"
CAF,Metal Products
CAF,Electrical and Machinery
CAF,Transport Equipment
CAF,Other Manufacturing
CAF,Recycling
CAF,"Electricity, Gas and Water"
CAF,Construction
CAF,Maintenance and Repair
CAF,Wholesale Trade
CAF,Retail Trade
CAF,Hotels and Restraurants
CAF,Transport
CAF,Post and Telecommunications
CAF,Finacial Intermediation and Business Activities
CAF,Public Administration
CAF,"Education, Health and Other Services"
CAF,Private Households
CAF,Others
CAF,Re-export & Re-import
TCD,Agriculture
TCD,Fishing
TCD,Mining and Quarrying
TCD,Food & Beverages
TCD,Textiles and Wearing Apparel
TCD,Wood and Paper
TCD,"Petroleum, Chemical and non-Metallic Mineral Products"
TCD,Metal Products
TCD,Electrical and Machinery
TCD,Transport Equipment
TCD,Other Manufacturing
TCD,Recycling
TCD,"Electricity, Gas and Water"
TCD,Construction
TCD,Maintenance and Repair
TCD,Wholesale Trade
TCD,Retail Trade
TCD,Hotels and Restraurants
TCD,Transport
TCD,Post and Telecommunications
TCD,Finacial Intermediation and Business Activities
TCD,Public Administration
TCD,"Education, Health and Other Services"
TCD,Private Households
TCD,Others
TCD,Re-export & Re-import
CHL,Agriculture
CHL,Fishing
CHL,Mining and Quarrying
CHL,Food & Beverages
CHL,Textiles and Wearing Apparel
CHL,Wood and Paper
CHL,"Petroleum, Chemical and non-Metallic Mineral Products"
CHL,Metal Products
CHL,Electrical and Machinery
CHL,Transport Equipment
CHL,Other Manufacturing
CHL,Recycling
CHL,"Electricity, Gas and Water"
CHL,Construction
CHL,Maintenance and Repair
CHL,Wholesale Trade
CHL,Retail Trade
CHL,Hotels and Restraurants
CHL,Transport
CHL,Post and Telecommunications
CHL,Finacial Intermediation and Business Activities
CHL,Public Administration
CHL,"Education, Health and Other Services"
CHL,Private Households
CHL,Others
CHL,Re-export & Re-import
CHN,Agriculture
CHN,Fishing
CHN,Mining and Quarrying
CHN,Food & Beverages
CHN,Textiles and Wearing Apparel
CHN,Wood and Paper
CHN,"Petroleum, Chemical and non-Metallic Mineral Products"
CHN,Metal Products
CHN,Electrical and Machinery
CHN,Transport Equipment
CHN,Other Manufacturing
CHN,Recycling
CHN,"Electricity, Gas and Water"
CHN,Construction
CHN,Maintenance and Repair
CHN,Wholesale Trade
CHN,Retail Trade
CHN,Hotels and Restraurants
CHN,Transport
CHN,Post and Telecommunications
CHN,Finacial Intermediation and Business Activities
CHN,Public Administration
CHN,"Education, Health and Other Services"
CHN,Private Households
CHN,Others
CHN,Re-export & Re-import
COL,Agriculture
COL,Fishing
COL,Mining and Quarrying
COL,Food & Beverages
COL,Textiles and Wearing Apparel
COL,Wood and Paper
COL,"Petroleum, Chemical and non-Metallic Mineral Products"
COL,Metal Products
COL,Electrical and Machinery
COL,Transport Equipment
COL,Other Manufacturing
COL,Recycling
COL,"Electricity, Gas and Water"
COL,Construction
COL,Maintenance and Repair
COL,Wholesale Trade
COL,Retail Trade
COL,Hotels and Restraurants
COL,Transport
COL,Post and Telecommunications
COL,Finacial Intermediation and Business Activities
COL,Public Administration
COL,"Education, Health and Other Services"
COL,Private Households
COL,Others
